Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
42,Leicester City,eng ENG,8,38,14,10,14,62,59,+3,52,1.37,47.8,59.3,-11.5,-0.30,32493,Jamie Vardy - 15,Kasper Schmeichel
43,Mainz 05,de GER,8,34,13,7,14,50,45,+5,46,1.35,50.4,43.9,+6.5,+0.19,17978,Jonathan Burkardt - 11,Robin Zentner
44,Hoffenheim,de GER,9,34,13,7,14,58,60,-2,46,1.35,58.3,54.6,+3.7,+0.11,11227,Georginio Rutter - 8,Oliver Baumann
45,Brighton,eng ENG,9,38,12,15,11,42,44,-2,51,1.34,46.2,42.9,+3.3,+0.09,30966,Leandro Trossard Neal Maupay - 8,Robert Sánchez
46,Wolves,eng ENG,10,38,15,6,17,38,43,-5,51,1.34,37.5,56.9,-19.4,-0.51,30841,Raúl Jiménez - 6,José Sá
47,Torino,it ITA,10,38,13,11,14,46,41,+5,50,1.32,48.7,38.9,+9.8,+0.26,9846,Andrea Belotti - 8,Vanja Milinković-Savić
48,Sassuolo,it ITA,11,38,13,11,14,64,66,-2,50,1.32,55.7,66.4,-10.7,-0.28,8362,Gianluca Scamacca - 16,Andrea Consigli
49,M'Gladbach,de GER,10,34,12,9,13,54,61,-7,45,1.32,56.2,55.0,+1.2,+0.04,26539,Jonas Hofmann - 12,Yann Sommer
50,Newcastle Utd,eng ENG,11,38,13,10,15,44,62,-18,49,1.29,38.1,57.1,-19.0,-0.50,51487,Callum Wilson - 8,Martin Dúbravka
51,Crystal Palace,eng ENG,12,38,11,15,12,50,46,+4,48,1.26,46.4,40.7,+5.7,+0.15,24588,Wilfried Zaha - 14,Vicente Guaita
52,Valencia,es ESP,9,38,11,15,12,48,53,-5,48,1.26,39.0,47.7,-8.7,-0.23,27349,Gonçalo Guedes Carlos Soler - 11,Giorgi Mamardashvili
53,Brest,fr FRA,11,38,13,9,16,49,57,-8,48,1.26,43.4,56.3,-12.8,-0.34,11804,Franck Honorat - 11,Marco Bizot
54,Udinese,it ITA,12,38,11,14,13,61,58,+3,47,1.24,51.3,52.4,-1.0,-0.03,12144,Gerard Deulofeu - 13,Marco Silvestri
55,Eint Frankfurt,de GER,11,34,10,12,12,45,49,-4,42,1.24,41.6,47.0,-5.4,-0.16,26162,Rafael Borré - 8,Kevin Trapp
56,Wolfsburg,de GER,12,34,12,6,16,43,54,-11,42,1.24,47.7,47.3,+0.4,+0.01,12018,Lukas Nmecha - 8,Koen Casteels
57,Osasuna,es ESP,10,38,12,11,15,37,51,-14,47,1.24,36.7,46.3,-9.6,-0.25,17107,Ante Budimir - 8,Sergio Herrera
58,Bochum,de GER,13,34,12,6,16,38,52,-14,42,1.24,40.6,55.8,-15.1,-0.46,14236,Sebastian Polter - 10,Manuel Riemann
59,Celta Vigo,es ESP,11,38,12,10,16,43,43,0,46,1.21,43.1,45.7,-2.6,-0.07,10014,Iago Aspas - 18,Matías Dituro
60,Reims,fr FRA,12,38,11,13,14,43,44,-1,46,1.21,37.7,46.4,-8.7,-0.23,11071,Hugo Ekitike - 10,Predrag Rajković
61,Brentford,eng ENG,13,38,13,7,18,48,56,-8,46,1.21,45.8,48.5,-2.7,-0.07,16918,Ivan Toney - 12,David Raya
62,Bologna,it ITA,13,38,12,10,16,44,55,-11,46,1.21,44.9,52.6,-7.7,-0.20,14158,Marko Arnautović - 14,Łukasz Skorupski
63,Aston Villa,eng ENG,14,38,13,6,19,52,54,-2,45,1.18,44.0,49.0,-4.9,-0.13,41681,Ollie Watkins - 11,Emiliano Martínez
64,Montpellier,fr FRA,13,38,12,7,19,49,61,-12,43,1.13,42.7,57.1,-14.4,-0.38,10711,Sepe Elye Wahi - 10,Jonas Omlin
65,Augsburg,de GER,14,34,10,8,16,39,56,-17,38,1.12,36.7,57.9,-21.2,-0.62,15197,Michael Gregoritsch - 9,Rafał Gikiewicz
