Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
88,Auxerre,fr FRA,17,27,5,8,14,23,49,-26,23,0.85,28.0,37.6,-9.6,-0.37,D W W D D,13966,Nuno da Costa Gaëtan Perrin... - 3,Benoît Costil
89,Stuttgart,de GER,16,24,4,8,12,29,41,-12,20,0.83,29.9,31.1,-1.3,-0.06,L W L L D,46359,Sehrou Guirassy - 6,Florian Müller
90,Schalke 04,de GER,17,24,4,8,12,20,44,-24,20,0.83,24.8,34.1,-9.3,-0.40,D D W W D,56201,Marius Bülter - 6,Alexander Schwolow
91,Hoffenheim,de GER,18,24,5,4,15,30,44,-14,19,0.79,32.7,35.1,-2.4,-0.10,L L L L L,20766,Christoph Baumgartner Andrej Kramarić... - 5,Oliver Baumann
92,Ajaccio,fr FRA,18,27,6,3,18,20,48,-28,21,0.78,30.6,34.8,-4.2,-0.16,L L W L L,6880,Youcef Belaïli - 6,Benjamin Leroy
93,Troyes,fr FRA,19,27,4,8,15,36,59,-23,20,0.74,29.6,50.8,-21.3,-0.82,L L L D L,8924,Mama Samba Baldé - 10,Gauthier Gallon
94,Hellas Verona,it ITA,18,26,4,7,15,21,38,-17,19,0.73,25.2,31.6,-6.3,-0.25,W L L D D,11124,Darko Lazović - 3,Lorenzo Montipò
95,Elche,es ESP,20,25,2,7,16,19,49,-30,13,0.52,21.1,50.3,-29.2,-1.22,L L L W D,20313,Pere Milla - 6,Édgar Badía
96,Cremonese,it ITA,19,26,1,9,16,21,48,-27,12,0.46,25.2,43.8,-18.6,-0.74,L D W L L,8828,David Okereke Cyriel Dessers - 5,Marco Carnesecchi
97,Sampdoria,it ITA,20,26,2,6,18,13,43,-30,12,0.46,21.4,37.9,-16.4,-0.66,D L L D L,14900,Manolo Gabbiadini - 4,Emil Audero
98,Angers,fr FRA,20,27,2,4,21,21,60,-39,10,0.37,29.2,41.9,-12.7,-0.49,D L L L L,9200,Sofiane Boufal - 4,Paul Bernardoni
